tract_fips,nta_code
36047000700,BK0201
36047000900,BK0201
36047001100,BK0202
36047001300,BK0202
36047002000,BK0702
36047002100,BK0202
36047002200,BK0702
36047002901,BK0203
36047003700,BK0202
36047003900,BK0202
36005014100,BX0301
36005033000,BX1104
36005021100,BX0402
36005004600,BX0902
36005005902,BX0401
36005028100,BX0801
36005022701,BX0502
36005031600,BX1103
36005019500,BX0401
36005028600,BX1102
36005016400,BX1002
36005036800,BX1201
36005006000,BX0601
36005037600,BX1201
36005023301,BX0502
36005004001,BX0903
36005006900,BX0102
36005003100,BX0101
36005039000,BX1201
36005042800,BX1203
36005038800,BX1201
36005005600,BX0901
36005014500,BX0302
36047017700,BK5591
36047017800,BK1102
36047017900,BK0203
36047018000,BK1102
36047018200,BK1101
36047018300,BK0203
36047018501,BK0203
36047018600,BK1101
36047018700,BK0203
36047019000,BK1101
36047019100,BK0204
36047019200,BK1202
36047019600,BK1002
36047019700,BK0204
36047019800,BK1002
36047019900,BK0204
36047020000,BK1002
36047020300,BK0801
36047020400,BK1002
36047020600,BK1002
36047020700,BK0801
36005026300,BX0701
36005029700,BX0803
36005020601,BX1001
36005042000,BX1203
36005015800,BX1002
36005007400,BX0903
36005028800,BX1102
36005022902,BX0403
36005013300,BX0301
36005017100,BX0492
36005045101,BX1203
36005008300,BX0202
36005040400,BX1201
36005046000,BX1202
36005025200,BX1102
36005023501,BX0502
36005036501,BX0602
36005021601,BX0901
36005040304,BX0702
36005022800,BX1101
36005003800,BX0902
36005020400,BX1001
36005003300,BX0101
36005037100,BX0602
36005013100,BX0202
36047020800,BK1002
36047021000,BK1002
36047021400,BK1202
36047021800,BK1202
36047021900,BK0802
36081019400,QN1202
36081020500,QN0202
36081095400,QN1402
36081127700,QN0804
36081042400,QN1205
36081062200,QN1304
36081079702,QN0707
36081030600,QN1306
36081015802,QN1001
36081018102,QN0202
36081012500,QN0101
36081065703,QN0504
36081008500,QN0105
36081026901,QN0401
36081074900,QN0602
36081035700,QN0302
36081006502,QN0103
36081029400,QN1204
36081061301,QN0502
36081072300,QN0602
36081086900,QN0707
36081015801,QN1001
36047101800,BK1803
36047102000,BK1803
36047102600,BK1803
36081018501,QN0202
36047107800,BK0503
36047109800,BK0503
36047112200,BK0503
36047112400,BK0503
36047112600,BK0503
36047112800,BK0503
36047113000,BK0503
36047113200,BK0503
36047114201,BK0471
36047114600,BK0501
36047115200,BK0502
36047115600,BK0502
36047116000,BK0502
36047116400,BK0502
36047117000,BK0501
36047117201,BK0501
36047117202,BK0501
36047117400,BK0501
36047117800,BK0501
36047118000,BK0571
36047118201,BK0501
36047118202,BK0501
36047118400,BK0501
36047118600,BK0505
36047118800,BK0505
36047119200,BK0502
36047119400,BK0502
36047119600,BK0505
36047120000,BK0505
36047120200,BK0505
36047121000,BK0505
36081067100,QN0504
36081053100,QN0501
36081006201,QN1003
36081006501,QN0103
36081018101,QN0202
36047122000,BK0505
36047013000,BK1001
36047017000,BK1102
36047020100,BK0204
36047022200,BK1202
36047121400,BK0505
36047023800,BK1202
36047024700,BK0301
36047027300,BK0302
36047028000,BK1102
36047032600,BK1302
36047034700,BK0802
36047041000,BK1103
36047048600,BK1203
36047052500,BK0102
36047052800,BK1402
36047053800,BK1403
36047054200,BK1403
36047059300,BK0101
36047064600,BK1802
36047075200,BK1403
36047081800,BK1701
36047102200,BK1803
36047113400,BK0502
36047115800,BK0502
36047116600,BK0502
36085029106,SI0204
36085004001,SI0102
36085005902,SI0104
36085007001,SI0201
36081099703,QN0703
36081099704,QN0703
36081099705,QN0761
36081099801,QN1401
36081075702,QN0602
36081079701,QN0707
36081044302,QN0402
36081129103,QN1104
36081129104,QN1104
36081071303,QN0602
36081071304,QN0602
36081071305,QN0602
36081071701,QN0601
36081071702,QN0601
36081075701,QN0602
36081093401,QN1403
36081093402,QN1403
36081038301,QN0707
36047051601,BK1401
36081059502,QN0501
36081059501,QN0502
36081084901,QN0707
36081048302,QN0203
36081066403,QN1307
36081019903,QN0202
36081089201,QN1003
36081053902,QN0502
36047061003,BK1303
36047061004,BK1303
36047069601,BK1802
36047069602,BK1802
36047079801,BK0902
36047079802,BK0902
36047105801,BK0504
36047990100,BK1302
36005022703,BX0403
36005022901,BX0502
36005023000,BX1101
36005023200,BX1101
36005023302,BX0502
36005023502,BX0502
36005023600,BX1101
36005023900,BX0503
36005024000,BX1101
36005024300,BX0501
36005024600,BX1102
36005024700,BX0501
36005024800,BX1102
36005024900,BX0501
36005025000,BX1102
36005025300,BX0701
36005025400,BX1102
36005025500,BX0701
36005025600,BX1102
36005025700,BX0701
36005026100,BX0701
36005026400,BX1002
36005026500,BX0701
36005026601,BX1003
36005026602,BX1003
36005026900,BX0701
36005027300,BX0801
36005027600,BX2891
36005027700,BX0801
36005027900,BX0801
36005028300,BX0802
36005028400,BX1161
36005028500,BX0802
36005028900,BX0802
36005029500,BX0803
36005029600,BX1102
36005030000,BX1003
36005030100,BX0803
36005030701,BX0803
36005031000,BX1103
36005031800,BX1103
36005031900,BX0803
36005032300,BX0803
36005032400,BX1104
36005033400,BX2791
36005034000,BX1104
36005034200,BX1104
36005034300,BX0803
36005034400,BX1103
36005037800,BX1201
36005037900,BX0502
36005038000,BX1201
36005038100,BX0502
36005038500,BX0603
36005038600,BX1202
36005038700,BX0603
36005038900,BX0603
36005039100,BX0603
36005039200,BX1201
36005039300,BX0603
36005039400,BX1201
36005039700,BX0603
36005039902,BX0503
36005040100,BX0701
36005040600,BX1201
36005040701,BX0702
36005040702,BX0702
36005034500,BX0803
36005035000,BX1103
36081018300,QN0202
36081070900,QN0602
36081006900,QN0103
36081015900,QN0104
36081011600,QN0904
36081055100,QN0502
36081048100,QN0401
36081046100,QN0401
36081058500,QN0502
36081023600,QN1201
36081074700,QN0602
36081012100,QN0101
36081014400,QN0902
36081032700,QN0301
36081053800,QN1303
36081050600,QN1206
36081061000,QN1304
36081129102,QN1104
36081027500,QN0301
36081026100,QN0203
36081002000,QN0905
36081120100,QN0705
36081107201,QN1403
36081058700,QN0502
36081010100,QN0101
36081056200,QN1303
36081024600,QN1201
36081016400,QN1001
36081020200,QN1202
36081050202,QN1206
36081059600,QN1304
36081063000,QN1305
36081022002,QN0805
36081085500,QN0707
36081011100,QN0101
36081067900,QN0504
36081012000,QN0903
36081005700,QN0103
36081033700,QN0301
36085024402,SI0305
36085027705,SI0204
36085012806,SI0301
36085017702,SI0203
36085017701,SI0203
36085020805,SI0303
36085018704,SI0203
36085022602,SI0305
36085007002,SI0201
36085020806,SI0303
36085017015,SI0303
36061001501,MN0101
36061001600,MN0301
36061001800,MN0302
36061002201,MN0302
36061002202,MN0303
36061002601,MN0303
36061002602,MN0303
36061002700,MN0301
36061002800,MN0303
36061003001,MN0302
36061003100,MN0102
36061003300,MN0102
36061003601,MN0302
36061003800,MN0303
36061004200,MN0303
36061004300,MN0201
36061004500,MN0201
36061004700,MN0201
36061004900,MN0201
36061005400,MN0501
36061005501,MN0202
36061005600,MN0501
36061005700,MN0202
36061005800,MN0501
36061006100,MN0202
36061006400,MN0602
36061006500,MN0202
36061006700,MN0203
36061006800,MN0602
36061006900,MN0203
36061007100,MN0203
36061007300,MN0203
36047043700,BK0402
36061007600,MN0501
36061007800,MN0603
36061008100,MN0401
36061008400,MN0502
36061008700,MN0401
36061008800,MN0603
36061009000,MN0604
36061009200,MN0604
36061009300,MN0401
36061009400,MN0502
36061009600,MN0502
36061009800,MN0604
36061010000,MN0604
36061010200,MN0502
36061010300,MN0401
36061010400,MN0502
36061011401,MN0802
36061011402,MN0802
36061011500,MN0402
36061011900,MN0502
36061012000,MN0802
36061012400,MN0801
36085017014,SI0303
